barcode,in.0bp5,in.0ap4,in.0a,in.0b,in.0c,bile19,bile20,brain20,kidney20,l1,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l2,l3,l4,l5,l6,l7,l8,l9,liver20,s1,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s2,s3,s4,s5,s6,s7,s8,s9,spleen20
"Cluster_21884,contig_0 consensus mapping",828,334,479,449,331,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Cluster_18906,contig_0 consensus mapping",1012,405,590,544,477,0,0,0,0,0,1,0,0,0,1585,22384,3,0,0,0,0,0,0,0,1,16,0,0,7,0,4,0,0,0,0,0,0,1,7,0,7,0,0,0,0,0,0,0,0
"Cluster_22408,contig_0 consensus mapping",819,365,455,404,359,0,0,0,0,0,0,0,0,0,9,0,15,0,0,2,0,3,0,0,9,0,6,0,3,5,0,10169,0,0,3180,1,1355,2,0,11,0,3,0,3,2,0,3,7797,1
"Cluster_3229,contig_0 consensus mapping",832,410,515,411,313,0,0,0,0,0,0,919,0,4,0,0,8,280,0,0,0,1,2,5495,0,0,2,0,3,0,0,4839,0,0,0,0,7,0,0,5,0,2,1,0,0,0,3,0,1
"Cluster_6816,contig_0 consensus mapping",884,347,531,457,352,5,0,0,2,0,0,0,4191,1081,0,0,1,41,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_18796,contig_0 consensus mapping",804,383,390,356,270,0,0,3,0,0,4,0,42,760,0,769,1,0,4,0,6,0,0,0,0,1,0,0,0,0,0,0,0,5583,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0
"Cluster_31648,contig_0 consensus mapping",667,285,333,339,265,0,0,0,0,0,0,1129,0,0,0,4,1,0,0,0,0,1,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,4441,1,3,0,0,0,0,0,0,0,2
"Cluster_25044,contig_0 consensus mapping",714,325,345,376,283,0,0,8,0,0,6,1500,0,0,0,0,4,0,9,1,5,2,0,0,0,0,0,0,17,0,0,0,0,6012,0,0,0,5,0,0,0,0,0,5,1,0,0,0,2
"Cluster_29406,contig_0 consensus mapping",655,358,402,394,291,0,0,0,0,0,2,16,0,0,0,0,1,0,1220,23,2,13,0,0,0,0,1,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,2,13634,0,0,0,15
"Cluster_14881,contig_0 consensus mapping",883,381,484,438,367,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,0,5,0,0,0,0,1,0,9,0,0,0,0,0,3521,0,0,0,0,0,0,0,0,0,0,0,0,0,2212
"Cluster_15465,contig_0 consensus mapping",606,299,434,351,304,0,0,0,0,0,0,0,0,0,1195,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Cluster_18494,contig_0 consensus mapping",817,364,506,460,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Cluster_19349,contig_0 consensus mapping",905,392,500,443,408,0,0,0,0,0,0,893,0,0,0,0,0,605,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cluster_23436,contig_0 consensus mapping",745,395,529,442,326,0,0,0,1,0,0,517,1758,12,0,0,2,0,0,12,0,1,0,18,0,0,32,0,14,0,0,0,0,0,1,4,21253,0,0,0,0,0,0,0,4,0,10,0,7998
"Cluster_17509,contig_0 consensus mapping",819,366,491,441,357,3,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1385,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cluster_6480,contig_0 consensus mapping",958,416,563,544,383,0,0,0,0,0,1,0,1,0,5143,0,0,0,0,0,0,0,0,0,10,0,0,0,12,5,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0
"Cluster_5271,contig_0 consensus mapping",709,312,435,354,277,7,0,0,5,1,0,2099,7,1,0,8,2,0,0,1,0,0,3,0,0,24,0,3767,0,0,8,1,2,0,0,4608,0,0,15,0,25474,0,1,0,1,3,0,0,0
"Cluster_681,contig_0 consensus mapping",624,312,386,349,261,0,3,0,0,12,0,1758,0,0,10,0,0,3,0,3,0,1,0,0,8,0,0,4,1,5,0,0,6214,0,0,0,4,7,0,1,0,0,3,2,3,0,1,6377,1238
"Cluster_2074,contig_0 consensus mapping",636,282,368,343,248,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cluster_5669,contig_0 consensus mapping",378,192,240,169,155,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8591,contig_0 consensus mapping",590,237,392,336,264,0,0,0,0,0,0,0,0,0,0,0,1,236,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7271,contig_0 consensus mapping",984,402,577,525,452,0,0,1,0,0,1,0,0,0,0,2302,2,235,1181,1,2,0,0,0,0,3,0,0,14,0,3,0,0,1,0,0,0,0,3509,0,2,1,0,0,0,0,0,0,0
"Cluster_18962,contig_0 consensus mapping",922,427,536,511,390,2,0,0,2,0,0,0,2739,0,0,0,1,496,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_20583,contig_0 consensus mapping",859,400,511,418,350,0,4,0,0,9,0,0,0,8,0,0,4,4,0,0,0,0,0,0,173,0,5,9169,0,0,0,3,2,0,0,0,0,0,0,3,0,3064,5,0,0,0,0,0,0
